Name    Type    Address  Phone  Link
Trung tâm Anh ngữ Quốc tế BLUE DIAMOND ( Đà Nẵng)	Trường ngoại ngữ	Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0236 7301 929	https://bluediamond.edu.vn/
Tiếng Anh Giao Tiếp Tại Đà Nẵng - Ms. Ngọc Hà	Trường dạy tiếng Anh	Đã hoạt động hơn 10 năm · Đà Nẵng	Mở cả ngày · 0774 411 233	https://www.facebook.com/tienganhgiaotiepmsngocha
Trung tâm Anh ngữ FEC – Hải Châu, Đà Nẵng	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0905 788 108	https://fec.edu.vn/
Trung tâm Anh Ngữ 4Fun Language Đà Nẵng	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 17:30 Th 6 · 0905 837 498	None
Trung tâm Ngoại ngữ Pasal - Đống Đa	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · 146 P. Tây Sơn	Đã đóng cửa ⋅ Mở lúc 8:15 Th 6 · 0969 620 486	https://pasal.edu.vn/
Trung tâm Anh ngữ EduPath - Đà Nẵng	Trường ngoại ngữ	Đã hoạt động hơn 15 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0902 990 268	https://testprep-edupath.org.vn/
Trung tâm Anh Ngữ AMA Đà Nẵng	Trường ngoại ngữ	Đã hoạt động hơn 10 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0236 3821 821	http://amadanang.edu.vn/
Trung tâm tiếng Hàn K-lingo	Trường ngoại ngữ	Đà Nẵng	Mở cả ngày · 0978 319 981	None
Trung Tâm Tiếng Anh EBest	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0236 6567 811	http://ebest.edu.vn/
Hệ Thống Anh Ngữ Focus Learning	Trường ngoại ngữ	Đà Nẵng	0869 608 396	https://focus.edu.vn/
Trung tâm tiếng Anh Language Link Academic Hoàng Đạo Thúy	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · Tòa nhà 34T, P. Hoàng Đạo Thúy	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 024 6256 6888	https://llv.edu.vn/
Tiếng Anh Ms. Linh ESL Đà Nẵng	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0947 083 664	https://www.facebook.com/HocTiengAnh.HieuQua.TalkTune.MsLinhESL.LinhSpire/
Hệ thống Anh ngữ LEOGO - CS3 - Trung tâm tiếng Anh trẻ em	Trường dạy tiếng Anh	Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 13:30 Th 6 · 0789 434 356	http://leogo.edu.vn/
Trung tâm Anh ngữ EMMA Đà Nẵng	Trường ngoại ngữ	Đã hoạt động hơn 10 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0973 407 555	http://www.emmaenglishschool.com/
Scots English Nguyễn Tuân	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · Lô 6 - Liền kề 2, số 90, 90 Đ. Nguyễn Tuân	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0813 011 090	https://scotsenglish.edu.vn/
Trung tâm Anh ngữ IRIS English - Cơ Sở 4	Trung tâm giáo dục	Đã hoạt động hơn 10 năm · Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0236 6566 688	https://iris.edu.vn/
Trung tâm tiếng anh Lotus ENGLISH	Trường dạy tiếng Anh	Đà Nẵng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0913 585 893	None
TIẾNG HOA ĐẠI THÀNH CẦN THƠ	Trường ngoại ngữ	16S Đ.Đinh Công Tráng	Mở cả ngày · 0906 666 034	https://www.facebook.com/TiengHoaDaiThanh/
CB CẦN THƠ - HỆ THỐNG TRUNG TÂM NGOẠI NGỮ CB CENTRES	Trường ngoại ngữ	Số 41 Đ. Cách Mạng Tháng 8	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0292 2235 858	https://cbcentres.com/
Trung Tâm Ngoại Ngữ FME - Fabulous Mekong	Trường ngoại ngữ	Đã hoạt động hơn 3 năm · 162/42a Đ. Nguyễn Việt Hồng	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0292 7303 738	https://fme.edu.vn/
Wiser English - Luyện Thi TOEIC, B1 VSTEP, Anh Văn Giao Tiếp Cần Thơ	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · Số 30 Đường B18	Đã đóng cửa ⋅ Mở lúc 16:00 Th 6 · 0766 800 668	None
Trung tâm Ngoại ngữ Quốc tế DEC	Trung tâm giáo dục	43 Đ. Nguyễn Hiền	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0906 777 603	http://www.ngoaingudec.com/
Anh Ngữ AMES Cần Thơ	Trường dạy tiếng Anh	Đã hoạt động hơn 10 năm · 33 Đ. Lý Tự Trọng	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0292 3735 155	https://ames.edu.vn/
Trung Tâm Ngoại Ngữ AEE- Tiếng Anh Cần Thơ - Tiếng Anh Giao Tiếp	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · 27-28 lô U23, KĐT Miền Nam	Mở cả ngày · 0939 655 309	None
Trung tâm Anh Ngữ Gia Việt trụ sở chính	Tổ chức giáo dục	39 Đ. Mậu Thân	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0292 3831 000	http://www.giaviet.edu.vn/
Trung tâm Anh Ngữ Đăng Khoa - Chi nhánh Mậu Thân	Trường ngoại ngữ	11A Đ. Mậu Thân	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0939 235 264	None
Trung Tâm Ngoại Ngữ New Windows	Trường học	229 Đ. 3 Tháng 2	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0292 6546 567	http://www.newwindows.edu.vn/
Gia sư tiếng Hàn Cần Thơ	Trường ngoại ngữ	Đã hoạt động hơn 5 năm · 48 Đ. Mạc Thiên Tích	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0974 123 861	None
Talk to Miss Lan English Center	Trường dạy tiếng Anh	Đã hoạt động hơn 10 năm · 45 Đ. Lý Thái Tổ	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0908 805 030	http://misslanenglish.com/
Tiếng Nhật Cần Thơ - Nhật Ngữ Minh Lan	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · 09 Đ. Mậu Thân	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0931 863 496	https://nhatngucantho.com/
Trung tâm Anh ngữ ILA - Tầng 3 Vincom Xuân Khánh (Cần Thơ)	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · Vincom Xuân Khánh, 209 Đ. 30 Tháng 4	Đã đóng cửa ⋅ Mở lúc 10:00 Th 6 · 0292 7302 526	https://ila.edu.vn/
Trung tâm Ngoại ngữ Trường Đại học Cần Thơ	Trường ngoại ngữ	Đã hoạt động hơn 10 năm · 3/2 Cổng C, Đại học	Đã đóng cửa ⋅ Mở lúc 7:00 Th 6 · 0292 3830 617	http://cfl.ctu.edu.vn/
Trung tâm Ngoại ngữ ISEE Cần Thơ - Cơ sở 3/2	Trường ngoại ngữ	124 Đ. Lê Văn Thuấn	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 0939 129 493	https://isee.edu.vn/
Trung tâm Anh ngữ ILA	Trường dạy tiếng Anh	36A - 38B Nguyễn Trãi	Đã đóng cửa ⋅ Mở lúc 0:30 Th 6 · 0292 7305 668	https://ila.edu.vn/
Trung Tâm Anh Ngữ Nam Phương - NPC	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · 56 Đ. Nam Cao	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0292 3730 834	http://www.anhngunamphuong.com/
Trung Tâm Anh Ngữ Việt Mỹ VATC Cần Thơ	Tổ chức giáo dục	84 Đ. Mậu Thân	Đã đóng cửa ⋅ Mở lúc 7:00 Th 6 · 0292 3832 045	https://www.facebook.com/anhnguvatccantho
Trung tâm Anh Ngữ Montessori	Trung tâm giáo dục	KDC Hồng Phát, 128 Đ. Xuân Thủy	Đã đóng cửa ⋅ Mở lúc 14:30 Th 6 · 0962 179 178	https://anhngumontessori.com/
Trung tâm tiếng Trung ChineMaster	Trung tâm giáo dục	Đã hoạt động hơn 10 năm · 1 Ng. 48 P. Tô Vĩnh Diện	Mở cả ngày · 0904 684 983	https://chinemaster.com/
Trung tâm Nhật ngữ (Trường Ngôn Ngữ Sài Gòn)	Trường ngoại ngữ	Đã hoạt động hơn 15 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 028 3933 0773	http://www.saigonlanguage.com/
Premier Anh Ngữ Thượng Đỉnh Cơ Sở 01	Trường dạy tiếng Anh	Đã hoạt động hơn 10 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 7:30 Th 6 · 028 3818 1403	https://www.premier.edu.vn/
PHUONG NAM EDUCATION	Trường ngoại ngữ	Đã hoạt động hơn 10 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 028 3925 6284	http://www.phuongnameducation.com/
VLS - Vietnamese Language Studies	Trường ngoại ngữ	Đã hoạt động hơn 30 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0909 581 787	None
Tiếng Đức RUBIN	Trường ngoại ngữ	Đã hoạt động hơn 5 năm · 39a Ng. 279 P. Đội Cấn	Đang mở cửa ⋅ Đóng cửa vào 6:00 Th 6 · 0936 164 418	https://tiengducrubin.com/
CHI NHÁNH 2-Trung Tâm Ngoại Ngữ Đại học Sư phạm TP.HCM	Trường ngoại ngữ	Đã hoạt động hơn 35 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0903 955 881	http://www.cn2sp.edu.vn/
Trường Đại học Ngoại ngữ - Tin học Thành phố Hồ Chí Minh (HUFLIT)	Trường đại học	Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 028 3863 2052	https://huflit.edu.vn/
Học Tiếng Nhật - Du Học Nhật Bản Đông Du Hà Nội	Trường ngoại ngữ	Đã hoạt động hơn 5 năm · BT3, Lô 7, Đ. Trung Văn	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0948 792 662	https://www.dongduhanoi.edu.vn/
Trường Quốc Tế Nhật Bản	Trường tiểu học	Hồ Chí Minh	028 5417 9013	http://www.jschoolhcmc.com/
Anh Ngữ ZIM - Cầu Giấy	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · Số 16 Đ. Nguyễn Văn Huyên	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 1900 2833	https://zim.vn/
Trung Tâm Ngoại Ngữ ILI	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 7:00 Th 6 · 028 3977 8989	http://www.ili.edu.vn/
Nhật ngữ Kiến Minh	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0938 044 469	https://kienminh.edu.vn/
Trung Tâm Học Tiếng Pháp Phương Nam	Trường học	Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 1900 7060	https://hoctiengphap.com/
Du học Hàn Quốc và Nhật Bản VJ Việt Nam	Nhà tư vấn giáo dục	Đã hoạt động hơn 10 năm · Nhà T19-20 - BT1 - L4 KĐT Intracom	Đã đóng cửa ⋅ Mở lúc 6:00 Th 6 · 0924 052 222	None
Trung Tâm Tiếng Anh Jaxtina - Cơ sở Bạch Mai	Trường ngoại ngữ	Đã hoạt động hơn 3 năm · 435 P. Bạch Mai	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0929 760 666	http://jaxtina.com/?utm_source=Search&utm_medium=Map&utm_term=tonghop_GoogleMapSEO30320_Huynv&utm_content=khac_TTTAUTHN.BM_LPJEC&utm_campaign=GoogleMapSEO_All_Map_None_30320_Huynv
Trung tâm học tiếng Đức - Chuyên Ngữ Đức	Trường ngoại ngữ	Đã hoạt động hơn 20 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 028 3844 7542	https://www.germancenter-st.com/
IPU - IELTS Power Up Academy - Trung tâm luyện thi IELTS uy tín tại Quận 10, TP.HCM	Trường ngoại ngữ	Đã hoạt động hơn 5 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0969 685 769	https://ielts-powerup.com/
Tiếng Hoa Trẻ Em - LAS ACADEMY	Trường ngoại ngữ	Đã hoạt động hơn 5 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0938 268 602	http://lasacademy.vn/
Hello English -TOEIC.IELTS- TP. HCM	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · Hồ Chí Minh	Đã đóng cửa ⋅ Mở lúc 10:00 Th 6 · 0919 457 126	None
Universal Language Center Cơ Sở 05 I Trung tâm Luyện thi IELTS, TOEIC, Giao Tiếp	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · 23 P. Tô Vĩnh Diện	Mở cả ngày · 1900 6876	https://universal.edu.vn/lo-trinh-hoc-ielts/
First Steps English Center	Trường dạy tiếng Anh	Lô 6 Ng. 23 Lê Văn Lương	Mở cả ngày · 0985 046 399	None
Trung tâm Ngoại ngữ AM Education	Tổ chức giáo dục	545 P. Vũ Tông Phan	Mở cả ngày · 0866 696 269	http://www.amedu.vn/
NBA Language & Training Center	Trường dạy tiếng Anh	Đã hoạt động hơn 7 năm · 145B, Ngõ 562 Đường Láng Hà Nội Hanoi City	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0983 120 891	None
Trung tâm luyện thi IELTS DOL Đình Lực quận Thanh Xuân	Trường dạy tiếng Anh	Tòa tháp Gold Tower, 275 Đ. Nguyễn Trãi	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 1800 969639	https://www.dolenglish.vn/
Trung tâm ngoại ngữ Quốc Tế Ocean Edu Khương Trung	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · Sảnh A Videc Complex, 283 P.Khương Trung	Đã đóng cửa ⋅ Mở lúc 7:50 Th 6 · 024 3761 5999	https://ocean.edu.vn/
Trung tâm tiếng anh IELTS, DSAT Canberra English	Trường dạy tiếng Anh	P. Tố Hữu/27, ngõ 50 Đ. Trung Văn	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0376 284 729	https://canberraenglish.edu.vn/
Hanoi Connection - Cơ sở Thượng Đình, Thanh Xuân, Hà Nội	Trường dạy tiếng Anh	58 P. Cự Lộc	Mở cả ngày · 0964 886 672	http://hanoiconnection.com/
Trung tâm ngoại ngữ Quốc Tế Ocean Edu Nguyễn Trãi	Trường dạy tiếng Anh	Đã hoạt động hơn 5 năm · 312 Đ. Nguyễn Trãi	Đã đóng cửa ⋅ Mở lúc 7:50 Th 6 · 024 3540 6509	https://ocean.edu.vn/
Idea Zone - Tiếng Anh giao tiếp thực tế	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · Toà nhà Vân Nam, 26 Đ. Láng	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 0969 117 659	None
Hanoi Academy (Language & Culture)	Trường ngoại ngữ	Đã hoạt động hơn 7 năm · Hà Nội	Đã đóng cửa ⋅ Mở lúc 9:00 Th 6 · 0388 383 789	http://hanoilanguage.vn/
Amslink English Center - Lê Văn Thiêm	Trường dạy tiếng Anh	Đã hoạt động hơn 3 năm · 35 P. Lê Văn Thiêm	Đã đóng cửa ⋅ Mở lúc 8:00 Th 6 · 024 7305 0384	http://amslink.edu.vn/
The Catalyst for English	Trường ngoại ngữ	Đã hoạt động hơn 3 năm · 236 P. Nguyễn Văn Tuyết	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0962 799 826	https://thecatalyst.edu.vn/
Trung tâm tiếng Anh GLN Phạm Hùng	Trường dạy tiếng Anh	Đã hoạt động hơn 10 năm · Handico Tower, Tầng 12, toà nhà, Đ. Phạm Hùng	Mở cả ngày · 0989 310 113	http://gln.edu.vn/
Trung tâm tiếng Đức DE	Trường dạy tiếng Đức	38 Ng. 133 - Thái Hà	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0943 973 535	https://www.facebook.com/deineSprachschule/
GLN English Center	Trường dạy tiếng Anh	Đã hoạt động hơn 10 năm · Toà Nhà Coalimex Building, 33 P. Tràng Thi	Mở cả ngày · 0948 666 358	http://gln.edu.vn/
Big Ben English Language Center Nguyễn Ngọc Nại	Trường dạy tiếng Anh	230 P. Nguyễn Ngọc Nại	Đã đóng cửa ⋅ Mở lúc 15:00 Th 6	https://www.bbe.edu.vn/
Trung tâm Anh ngữ E-room	Trung tâm giáo dục	311 P. Vũ Tông Phan	Đã đóng cửa ⋅ Mở lúc 8:30 Th 6 · 0889 919 398	https://www.facebook.com/ERoomEnglishCenter?mibextid=LQQJ4d
The Anh English	Văn phòng công ty	12 Ng. 248 P. Hoàng Ngân	Mở cả ngày · 0988 699 600	https://theanhenglish.com/
